Priority,Action,Package Name,Group ID,Current Version,Safe Version,CVEs Fixed,License Risk,Supply Chain Flag,Ecosystem Command,Breaking Change,Alternative
P2,Upgraded,logback-classic,ch.qos.logback,1.4.11,1.4.12,CVE-2023-6378,,,"Update <logback.version>1.4.12</logback.version> in pom.xml properties",No,
P2,Upgraded,commons-io,commons-io,2.13.0,2.14.0,CVE-2024-47554,,,"Update <version>2.14.0</version> under commons-io dependency in pom.xml",No,
P3,Accept risk,jackson-databind,com.fasterxml.jackson.core,2.15.2,,"CVE-2023-35116",,,"CVE-2023-35116 is disputed by FasterXML — vendor states cyclic dependency DoS not achievable by external attackers; GHSA advisory unreviewed with no patched version confirmed",Unknown,
P3,Accept risk,jackson-dataformat-yaml,com.fasterxml.jackson.dataformat,2.15.2,,"CVE-2023-35116",,,"Same jackson.version property as jackson-databind; accept risk pending vendor resolution of CVE-2023-35116 dispute",Unknown,
P5,Monitor,selenium-java,org.seleniumhq.selenium,4.15.0,4.33.0,,,,"No CVE found; latest is 4.33.0 — 18 minor versions behind",No,
P5,Monitor,webdrivermanager,io.github.bonigarcia,5.6.2,,,,,"No CVE found; verify latest on https://github.com/bonigarcia/webdrivermanager",No,
P5,Monitor,slf4j-api,org.slf4j,2.0.9,,,,,"No CVE found; latest stable is 2.0.x series",No,
P5,Monitor,jai-imageio-core,com.github.jai-imageio,1.4.0,,,,,"No CVE found; already at latest 1.4.0; project last published 2018 — monitor for abandonment",No,
P5,Monitor,jna,net.java.dev.jna,5.13.0,5.17.0,,,,No CVE found; latest is 5.17.0,No,
P5,Monitor,jna-platform,net.java.dev.jna,5.13.0,5.17.0,,,,No CVE found; latest is 5.17.0,No,
P5,Monitor,commons-lang3,org.apache.commons,3.13.0,3.20.0,,,,No CVE found; latest is 3.20.0,No,
P5,Monitor,jsoup,org.jsoup,1.16.1,1.21.1,,,,No CVE found at 1.16.1 (Sonatype OSS Index confirmed); latest is 1.21.1,No,
P5,Monitor,junit-jupiter,org.junit.jupiter,5.10.0,,,,,"No CVE found; latest stable 5.12.x; 5.13.0-M3 is milestone",No,
P5,Monitor,testng,org.testng,7.8.0,7.11.0,,,,No CVE found; latest is 7.11.0,No,
P5,Monitor,mockito-core,org.mockito,5.5.0,5.18.0,,,,No CVE found; latest is 5.18.0,No,
P5,Monitor,commons-exec,org.apache.commons,1.3,1.6.0,,,,No CVE found directly on commons-exec; latest is 1.6.0,No,
